LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,
ID12436,12436,8,12.919692039489746,282.9337154247494,109.91475034580057,0.0,48386.664928800004,72,7.5,1,,17994.58857472591,18028.0,16781.0,19154.0,3.1184622E7,426.0766580168424,34655.11136757069,34465.0,29789.0,39651.0,6.0057308E7,2073.340879248368,0.03260611737244824,2.6671569239207713,0.019685319070587067,0.6453612361360594
ID10391,10391,8,11.904800415039062,288.038747116642,116.21243262439039,0.0,12768.703245100001,19,7.5,1,,18526.43162146567,18594.0,17044.0,19517.0,3.2106306E7,396.36575297462997,35148.203115983844,35177.0,30980.0,40349.0,6.0911836E7,1750.4522728837442,0.02733933262594275,2.4877093780853454,0.02900091086050359,1.1318235559316077
ID13464,13464,8,14.117643356323242,286.028622601865,110.68922268263675,0.0,67875.7383029,101,7.5,1,,17801.17368724755,17477.0,16227.0,20582.0,3.0849434E7,1005.7713769895425,40025.15118291979,38725.0,21516.0,56416.0,6.9363587E7,7928.275517362465,0.030574217254118113,1.050159911048673,0.11375931093567011,1.031287723029569
ID13978,13978,8,14.148871421813965,285.31781413750207,110.17664379933393,0.0,80644.441548,120,7.5,1,,17522.03000577034,17204.0,15952.0,19967.0,3.0365678E7,984.9751114778348,40686.65551067513,39515.0,22106.0,58224.0,7.0509974E7,7785.876032257907,0.03126304027556588,1.0785764051106725,0.1152395667782979,1.0799606978871052
ID11163,11163,8,20.333324432373047,285.0413508708438,114.22384334673896,0.0,24865.369477300002,37,7.5,1,,18900.503173687248,18310.0,16897.0,23402.0,3.2754572E7,1479.8185190898992,38087.92729371033,37107.0,25087.0,54652.0,6.6006378E7,6971.850977829801,0.04535367603385491,1.1082663489207951,0.0791125793780998,0.801028611654797
ID10657,10657,8,14.699241638183594,284.4376653559602,117.48461637204018,0.0,16800.9253225,25,7.5,1,,18836.333525678016,18696.0,17156.0,21199.0,3.2643366E7,899.5853930886825,36905.529140219274,35077.0,25904.0,58793.0,6.3957282E7,7049.247929673491,0.03734314634203059,1.5075524713227284,0.06225496012829011,0.6136543799633908
ID12193,12193,8,13.71056842803955,282.27365310318896,110.1015487915868,0.0,46370.5538901,69,7.5,1,,18092.654933641086,18121.0,16719.0,19373.0,3.1354571E7,487.6900255275153,35312.55972302366,35100.0,28587.0,41226.0,6.1196666E7,2525.056551749201,0.03494500722960206,2.505280070501093,0.03260248533680931,0.8830913452313862
ID12962,12962,8,13.672811508178711,286.12537769215714,110.38520301801917,0.0,60483.331161,90,7.5,1,,17990.770340450086,17680.0,16395.0,20902.0,3.1178005E7,996.3719036186876,40301.84246970571,39127.0,23633.0,56410.0,6.9843093E7,7828.5900819303,0.02979190450286222,1.0447372425356483,0.12009115476297644,1.10389812771348
ID11683,11683,8,13.880966186523438,284.6793549595959,114.93158521023666,0.0,37634.0727224,56,7.5,1,,18304.901327178304,18297.0,16916.0,19759.0,3.1722394E7,558.8028765206085,35452.06635891517,34782.0,29197.0,42932.0,6.1438431E7,3192.390761012519,0.033405691497254975,2.117816715328603,0.03615418167143508,0.7749785030540387
ID13219,13219,8,14.18791675567627,284.8435154363966,110.86508131190037,0.0,65859.6272642,98,7.5,1,,17860.885170225043,17496.0,16131.0,20389.0,3.0952914E7,1024.2154221807239,40197.290825158685,38973.0,21033.0,56450.0,6.9661905E7,7790.517808370073,0.030721931948569262,1.0395578654772455,0.11886779847153213,1.0963416150285001
ID11431,11431,8,14.860051155090332,287.478952028635,120.20629887856184,0.0,31585.7396063,47,7.5,1,,18580.535487593766,18327.0,17073.0,20998.0,3.2200068E7,875.4505811385844,35258.716099249854,34687.0,25667.0,48116.0,6.1103355E7,5370.521842148877,0.03011609460821126,1.2409922420437318,0.045705772273809314,0.5739070352110827
ID12714,12714,8,13.736684799194336,285.6028298763665,110.55560790527628,0.0,59139.2571352,88,7.5,1,,18085.06462781304,17842.0,16436.0,21075.0,3.1341417E7,986.023516823233,40329.94345066359,39066.0,21883.0,61216.0,6.9891792E7,9372.594867726702,0.031923867256771,1.1348295257420469,0.12341276572788755,0.9454063048902068
ID10155,10155,8,10.7420072555542,290.1933290802068,114.14504412903844,0.0,2016.1110387,3,7.5,1,,18286.617426428158,18355.0,16842.0,19326.0,3.1690708E7,434.052756285304,34321.45181765724,34522.0,29759.0,38377.0,5.9479076E7,1862.7663752702938,0.022510466114920778,1.8549729556091705,0.036252138999437335,1.2891559361561384
ID9900,9900,8,11.181541442871094,290.8518522738485,113.77209535637753,0.0,6048.333116100001,9,7.5,1,,18360.70282746682,18420.0,17123.0,19373.0,3.1819098E7,382.1722115510741,35303.09405654934,35771.0,30578.0,39074.0,6.1180262E7,1879.5622060506118,0.02489495325040174,2.33395324679921,0.03911374604653502,1.4140096828765847
ID13743,13743,8,14.08507251739502,284.8150633456997,110.8600174214286,0.0,75268.1454448,112,7.5,1,,17643.03923831506,17325.0,15949.0,20025.0,3.0575387E7,978.848420625524,40829.19734564339,39491.0,22009.0,59069.0,7.0756999E7,8303.189536736596,0.030362740080984885,1.062279419802174,0.12001879476603508,1.0538525167127983
ID10931,10931,8,19.878355026245117,285.28543607610214,117.16427827180344,0.0,22849.2584386,34,7.5,1,,18978.45297172533,18626.0,17009.0,23061.0,3.2889659E7,1282.2094783282403,38202.30063473745,35652.0,25663.0,55869.0,6.6204587E7,7087.402154069976,0.0450270311548933,1.2754916190466146,0.08192772692138632,0.8163287503044423
ID11956,11956,8,14.302833557128906,284.4556294315428,111.69108801877715,0.0,41666.2947998,62,7.5,1,,18204.377380265436,18200.0,16820.0,19575.0,3.1548186E7,554.4802266133054,35626.95672244662,34707.0,29028.0,42852.0,6.1741516E7,3215.5408040756733,0.035609678186585746,2.257832450956988,0.03776878045425683,0.8064678468496704
ID12470,12470,8,13.050989151000977,283.8090563275083,110.10823708161222,0.0,49058.701941700005,73,7.5,1,,18014.03000577034,18051.0,16741.0,19180.0,3.1218314E7,431.8623257280018,34679.431621465665,34264.0,29324.0,40501.0,6.0099455E7,2263.0652802241675,0.03306591236114142,2.6702261026507896,0.020503382779021417,0.615766355253115
ID10423,10423,8,11.744009971618652,289.2783229882024,115.11778565918749,0.0,8064.4441548,12,7.5,1,,18453.530294287364,18501.0,17237.0,19619.0,3.1979968E7,384.3868108529582,34950.78130409694,35318.0,30063.0,38423.0,6.0569704E7,1800.5522549203515,0.027041547720785635,2.5280433226812997,0.028130000941659596,1.0621916157227822
ID13499,13499,8,14.242512702941895,286.08121042635076,110.56237283972554,0.0,72579.9973932,108,7.5,1,,17682.27870744374,17345.0,16049.0,20147.0,3.0643389E7,1002.7678583899839,40491.96076168494,39535.0,21172.0,58731.0,7.0172568E7,8103.468273573671,0.030677541608907077,1.0497008843715594,0.11622813983839696,1.0406056685615204
ID14011,14011,8,14.169940948486328,285.2639166352419,110.77422011575769,0.0,81988.5155738,122,7.5,1,,17508.08309290248,17159.0,15934.0,19947.0,3.0341508E7,1004.5155554667754,41165.454125793425,40066.0,21404.0,57110.0,7.1339732E7,7995.7074136567435,0.031279098482572605,1.057279812735101,0.12145815417644128,1.1151919261837622
ID11196,11196,8,19.418106079101562,287.5321488519208,115.67436425086753,0.0,26881.480516000003,40,7.5,1,,18845.957876514713,18299.0,17081.0,23143.0,3.2660045E7,1395.068571312316,40111.05366416619,37997.0,26296.0,56059.0,6.9512456E7,7094.006440482234,0.04177941720283453,1.0835258122672173,0.12360044252326288,1.243972019076452
ID10692,10692,8,16.6905574798584,283.0906262110269,115.21867444527354,0.0,17472.9623354,26,7.5,1,,18850.832083092904,18751.0,17167.0,22081.0,3.2668492E7,940.5547857134699,36683.72590882862,35179.0,24831.0,55295.0,6.3572897E7,6986.7490494443455,0.0400313401697445,1.5428728123651343,0.056840379236414725,0.5647755141729786
ID11716,11716,8,14.268281936645508,283.28166436311074,115.69227188958337,0.0,36289.9986966,54,7.5,1,,18364.794575879976,18359.0,16902.0,19845.0,3.1826189E7,607.2692506335387,35740.042700519334,35339.0,28524.0,45758.0,6.1937494E7,3706.3897349969325,0.03401202146756715,1.9894894299040098,0.041506881531653064,0.7685850630478238
ID12228,12228,8,13.036467552185059,282.08265730120206,109.75063820638502,0.0,47042.590903000004,70,7.5,1,,18003.17426428159,18037.0,16809.0,19195.0,3.1199501E7,446.545505836771,34791.17022504328,34595.0,28932.0,40034.0,6.0293098E7,2045.6185661076693,0.03270232390025787,2.5533880380784058,0.022683329411489737,0.75446656590554
